SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
PARSVNATH, EQ, 28-Mar-2019, 6.50, 6.40, 6.55, 6.35, 6.40, 6.45, 6.45, 39010, 2.51, 186, 27022, 69.27
PATELENG, EQ, 28-Mar-2019, 24.90, 24.50, 25.70, 24.50, 25.05, 25.15, 25.21, 108344, 27.31, 716, 58370, 53.87
PATINTLOG, EQ, 28-Mar-2019, 45.35, 46.05, 46.90, 45.70, 46.00, 45.90, 46.25, 12899, 5.97, 266, 5361, 41.56
PATSPINLTD, EQ, 28-Mar-2019, 10.20, 10.20, 10.45, 10.00, 10.35, 10.25, 10.22, 8036, 0.82, 52, 6462, 80.41
PCJEWELLER, EQ, 28-Mar-2019, 80.45, 80.50, 83.25, 80.05, 82.70, 82.50, 81.85, 7264795, 5946.18, 24178, 1966853, 27.07
PDMJEPAPER, EQ, 28-Mar-2019, 17.85, 17.65, 18.25, 17.65, 18.10, 18.10, 18.01, 15053, 2.71, 290, 10268, 68.21
PDPL, BE, 28-Mar-2019, 8.20, 8.00, 8.10, 8.00, 8.10, 8.10, 8.09, 44, 0.00, 3, -, -
PDSMFL, EQ, 28-Mar-2019, 260.05, 262.00, 269.00, 261.00, 269.00, 266.20, 262.60, 4025, 10.57, 14, 4025, 100.00
PEARLPOLY, EQ, 28-Mar-2019, 13.45, 13.00, 13.55, 12.90, 13.30, 13.05, 13.00, 5236, 0.68, 35, 4001, 76.41
PEL, D1, 28-Mar-2019, 106002.00, 112000.00, 112000.00, 112000.00, 112000.00, 112000.00, 112000.00, 1, 1.12, 1, 1, 100.00
PEL, EQ, 28-Mar-2019, 2631.30, 2641.00, 2708.00, 2620.00, 2698.00, 2693.65, 2677.84, 791109, 21184.64, 33122, 401056, 50.70
PENIND, EQ, 28-Mar-2019, 36.65, 36.70, 37.30, 36.30, 37.00, 37.00, 36.93, 70366, 25.99, 485, 48767, 69.30
PENINLAND, EQ, 28-Mar-2019, 8.10, 8.15, 8.50, 8.10, 8.20, 8.20, 8.31, 179701, 14.93, 381, 124003, 69.01
PENPEBS, EQ, 28-Mar-2019, 55.50, 55.30, 57.50, 55.25, 56.25, 56.25, 56.56, 1329, 0.75, 54, 1197, 90.07
PENTAGOLD, SM, 28-Mar-2019, 32.80, 38.00, 38.00, 32.80, 32.80, 32.80, 35.40, 6000, 2.12, 2, 6000, 100.00
PERSISTENT, EQ, 28-Mar-2019, 624.00, 629.00, 644.00, 628.55, 638.75, 636.80, 638.20, 102698, 655.42, 7835, 36062, 35.11
